emotion,path
anger,../data/clean_audios/TESS\OAF_back_angry.wav
anger,../data/clean_audios/TESS\OAF_back_disgust.wav
fear,../data/clean_audios/TESS\OAF_back_fear.wav
joy,../data/clean_audios/TESS\OAF_back_happy.wav
neutral,../data/clean_audios/TESS\OAF_back_neutral.wav
surprise,../data/clean_audios/TESS\OAF_back_ps.wav
sadness,../data/clean_audios/TESS\OAF_back_sad.wav
anger,../data/clean_audios/TESS\OAF_bar_angry.wav
anger,../data/clean_audios/TESS\OAF_bar_disgust.wav
fear,../data/clean_audios/TESS\OAF_bar_fear.wav
joy,../data/clean_audios/TESS\OAF_bar_happy.wav
neutral,../data/clean_audios/TESS\OAF_bar_neutral.wav
surprise,../data/clean_audios/TESS\OAF_bar_ps.wav
sadness,../data/clean_audios/TESS\OAF_bar_sad.wav
anger,../data/clean_audios/TESS\OAF_base_angry.wav
anger,../data/clean_audios/TESS\OAF_base_disgust.wav
fear,../data/clean_audios/TESS\OAF_base_fear.wav
joy,../data/clean_audios/TESS\OAF_base_happy.wav
neutral,../data/clean_audios/TESS\OAF_base_neutral.wav
surprise,../data/clean_audios/TESS\OAF_base_ps.wav
sadness,../data/clean_audios/TESS\OAF_base_sad.wav
anger,../data/clean_audios/TESS\OAF_bath_angry.wav
anger,../data/clean_audios/TESS\OAF_bath_disgust.wav
fear,../data/clean_audios/TESS\OAF_bath_fear.wav
joy,../data/clean_audios/TESS\OAF_bath_happy.wav
neutral,../data/clean_audios/TESS\OAF_bath_neutral.wav
surprise,../data/clean_audios/TESS\OAF_bath_ps.wav
sadness,../data/clean_audios/TESS\OAF_bath_sad.wav
anger,../data/clean_audios/TESS\OAF_bean_angry.wav
anger,../data/clean_audios/TESS\OAF_bean_disgust.wav
fear,../data/clean_audios/TESS\OAF_bean_fear.wav
joy,../data/clean_audios/TESS\OAF_bean_happy.wav
neutral,../data/clean_audios/TESS\OAF_bean_neutral.wav
surprise,../data/clean_audios/TESS\OAF_bean_ps.wav
sadness,../data/clean_audios/TESS\OAF_bean_sad.wav
anger,../data/clean_audios/TESS\OAF_beg_angry.wav
anger,../data/clean_audios/TESS\OAF_beg_disgust.wav
fear,../data/clean_audios/TESS\OAF_beg_fear.wav
joy,../data/clean_audios/TESS\OAF_beg_happy.wav
neutral,../data/clean_audios/TESS\OAF_beg_neutral.wav
surprise,../data/clean_audios/TESS\OAF_beg_ps.wav
sadness,../data/clean_audios/TESS\OAF_beg_sad.wav
anger,../data/clean_audios/TESS\OAF_bite_angry.wav
anger,../data/clean_audios/TESS\OAF_bite_disgust.wav
fear,../data/clean_audios/TESS\OAF_bite_fear.wav
joy,../data/clean_audios/TESS\OAF_bite_happy.wav
surprise,../data/clean_audios/TESS\OAF_bite_ps.wav
sadness,../data/clean_audios/TESS\OAF_bite_sad.wav
anger,../data/clean_audios/TESS\OAF_boat_angry.wav
anger,../data/clean_audios/TESS\OAF_boat_disgust.wav
fear,../data/clean_audios/TESS\OAF_boat_fear.wav
joy,../data/clean_audios/TESS\OAF_boat_happy.wav
neutral,../data/clean_audios/TESS\OAF_boat_neutral.wav
surprise,../data/clean_audios/TESS\OAF_boat_ps.wav
sadness,../data/clean_audios/TESS\OAF_boat_sad.wav
anger,../data/clean_audios/TESS\OAF_bone_angry.wav
anger,../data/clean_audios/TESS\OAF_bone_disgust.wav
fear,../data/clean_audios/TESS\OAF_bone_fear.wav
joy,../data/clean_audios/TESS\OAF_bone_happy.wav
neutral,../data/clean_audios/TESS\OAF_bone_neutral.wav
surprise,../data/clean_audios/TESS\OAF_bone_ps.wav
sadness,../data/clean_audios/TESS\OAF_bone_sad.wav
anger,../data/clean_audios/TESS\OAF_book_angry.wav
anger,../data/clean_audios/TESS\OAF_book_disgust.wav
fear,../data/clean_audios/TESS\OAF_book_fear.wav
joy,../data/clean_audios/TESS\OAF_book_happy.wav
neutral,../data/clean_audios/TESS\OAF_book_neutral.wav
surprise,../data/clean_audios/TESS\OAF_book_ps.wav
sadness,../data/clean_audios/TESS\OAF_book_sad.wav
anger,../data/clean_audios/TESS\OAF_bought_angry.wav
anger,../data/clean_audios/TESS\OAF_bought_disgust.wav
fear,../data/clean_audios/TESS\OAF_bought_fear.wav
joy,../data/clean_audios/TESS\OAF_bought_happy.wav
neutral,../data/clean_audios/TESS\OAF_bought_neutral.wav
surprise,../data/clean_audios/TESS\OAF_bought_ps.wav
sadness,../data/clean_audios/TESS\OAF_bought_sad.wav
anger,../data/clean_audios/TESS\OAF_burn_angry.wav
anger,../data/clean_audios/TESS\OAF_burn_disgust.wav
fear,../data/clean_audios/TESS\OAF_burn_fear.wav
joy,../data/clean_audios/TESS\OAF_burn_happy.wav
neutral,../data/clean_audios/TESS\OAF_burn_neutral.wav
surprise,../data/clean_audios/TESS\OAF_burn_ps.wav
sadness,../data/clean_audios/TESS\OAF_burn_sad.wav
anger,../data/clean_audios/TESS\OAF_cab_angry.wav
anger,../data/clean_audios/TESS\OAF_cab_disgust.wav
fear,../data/clean_audios/TESS\OAF_cab_fear.wav
joy,../data/clean_audios/TESS\OAF_cab_happy.wav
neutral,../data/clean_audios/TESS\OAF_cab_neutral.wav
surprise,../data/clean_audios/TESS\OAF_cab_ps.wav
sadness,../data/clean_audios/TESS\OAF_cab_sad.wav
anger,../data/clean_audios/TESS\OAF_calm_angry.wav
anger,../data/clean_audios/TESS\OAF_calm_disgust.wav
fear,../data/clean_audios/TESS\OAF_calm_fear.wav
joy,../data/clean_audios/TESS\OAF_calm_happy.wav
neutral,../data/clean_audios/TESS\OAF_calm_neutral.wav
surprise,../data/clean_audios/TESS\OAF_calm_ps.wav
sadness,../data/clean_audios/TESS\OAF_calm_sad.wav
anger,../data/clean_audios/TESS\OAF_came_angry.wav
anger,../data/clean_audios/TESS\OAF_came_disgust.wav
fear,../data/clean_audios/TESS\OAF_came_fear.wav
joy,../data/clean_audios/TESS\OAF_came_happy.wav
neutral,../data/clean_audios/TESS\OAF_came_neutral.wav
surprise,../data/clean_audios/TESS\OAF_came_ps.wav
sadness,../data/clean_audios/TESS\OAF_came_sad.wav
anger,../data/clean_audios/TESS\OAF_cause_angry.wav
anger,../data/clean_audios/TESS\OAF_cause_disgust.wav
fear,../data/clean_audios/TESS\OAF_cause_fear.wav
joy,../data/clean_audios/TESS\OAF_cause_happy.wav
neutral,../data/clean_audios/TESS\OAF_cause_neutral.wav
surprise,../data/clean_audios/TESS\OAF_cause_ps.wav
sadness,../data/clean_audios/TESS\OAF_cause_sad.wav
anger,../data/clean_audios/TESS\OAF_chain_angry.wav
anger,../data/clean_audios/TESS\OAF_chain_disgust.wav
fear,../data/clean_audios/TESS\OAF_chain_fear.wav
joy,../data/clean_audios/TESS\OAF_chain_happy.wav
neutral,../data/clean_audios/TESS\OAF_chain_neutral.wav
surprise,../data/clean_audios/TESS\OAF_chain_ps.wav
sadness,../data/clean_audios/TESS\OAF_chain_sad.wav
anger,../data/clean_audios/TESS\OAF_chair_angry.wav
anger,../data/clean_audios/TESS\OAF_chair_disgust.wav
fear,../data/clean_audios/TESS\OAF_chair_fear.wav
joy,../data/clean_audios/TESS\OAF_chair_happy.wav
neutral,../data/clean_audios/TESS\OAF_chair_neutral.wav
surprise,../data/clean_audios/TESS\OAF_chair_ps.wav
sadness,../data/clean_audios/TESS\OAF_chair_sad.wav
anger,../data/clean_audios/TESS\OAF_chalk_angry.wav
anger,../data/clean_audios/TESS\OAF_chalk_disgust.wav
fear,../data/clean_audios/TESS\OAF_chalk_fear.wav
joy,../data/clean_audios/TESS\OAF_chalk_happy.wav
neutral,../data/clean_audios/TESS\OAF_chalk_neutral.wav
surprise,../data/clean_audios/TESS\OAF_chalk_ps.wav
sadness,../data/clean_audios/TESS\OAF_chalk_sad.wav
anger,../data/clean_audios/TESS\OAF_chat_angry.wav
anger,../data/clean_audios/TESS\OAF_chat_disgust.wav
fear,../data/clean_audios/TESS\OAF_chat_fear.wav
joy,../data/clean_audios/TESS\OAF_chat_happy.wav
neutral,../data/clean_audios/TESS\OAF_chat_neutral.wav
surprise,../data/clean_audios/TESS\OAF_chat_ps.wav
sadness,../data/clean_audios/TESS\OAF_chat_sad.wav
anger,../data/clean_audios/TESS\OAF_check_angry.wav
anger,../data/clean_audios/TESS\OAF_check_disgust.wav
fear,../data/clean_audios/TESS\OAF_check_fear.wav
joy,../data/clean_audios/TESS\OAF_check_happy.wav
neutral,../data/clean_audios/TESS\OAF_check_neutral.wav
surprise,../data/clean_audios/TESS\OAF_check_ps.wav
sadness,../data/clean_audios/TESS\OAF_check_sad.wav
anger,../data/clean_audios/TESS\OAF_cheek_angry.wav
anger,../data/clean_audios/TESS\OAF_cheek_disgust.wav
fear,../data/clean_audios/TESS\OAF_cheek_fear.wav
joy,../data/clean_audios/TESS\OAF_cheek_happy.wav
neutral,../data/clean_audios/TESS\OAF_cheek_neutral.wav
surprise,../data/clean_audios/TESS\OAF_cheek_ps.wav
sadness,../data/clean_audios/TESS\OAF_cheek_sad.wav
anger,../data/clean_audios/TESS\OAF_chief_angry.wav
anger,../data/clean_audios/TESS\OAF_chief_disgust.wav
fear,../data/clean_audios/TESS\OAF_chief_fear.wav
joy,../data/clean_audios/TESS\OAF_chief_happy.wav
neutral,../data/clean_audios/TESS\OAF_chief_neutral.wav
surprise,../data/clean_audios/TESS\OAF_chief_ps.wav
sadness,../data/clean_audios/TESS\OAF_chief_sad.wav
anger,../data/clean_audios/TESS\OAF_choice_angry.wav
anger,../data/clean_audios/TESS\OAF_choice_disgust.wav
fear,../data/clean_audios/TESS\OAF_choice_fear.wav
joy,../data/clean_audios/TESS\OAF_choice_happy.wav
neutral,../data/clean_audios/TESS\OAF_choice_neutral.wav
surprise,../data/clean_audios/TESS\OAF_choice_ps.wav
sadness,../data/clean_audios/TESS\OAF_choice_sad.wav
anger,../data/clean_audios/TESS\OAF_cool_angry.wav
anger,../data/clean_audios/TESS\OAF_cool_disgust.wav
fear,../data/clean_audios/TESS\OAF_cool_fear.wav
joy,../data/clean_audios/TESS\OAF_cool_happy.wav
neutral,../data/clean_audios/TESS\OAF_cool_neutral.wav
surprise,../data/clean_audios/TESS\OAF_cool_ps.wav
sadness,../data/clean_audios/TESS\OAF_cool_sad.wav
anger,../data/clean_audios/TESS\OAF_dab_angry.wav
anger,../data/clean_audios/TESS\OAF_dab_disgust.wav
fear,../data/clean_audios/TESS\OAF_dab_fear.wav
joy,../data/clean_audios/TESS\OAF_dab_happy.wav
neutral,../data/clean_audios/TESS\OAF_dab_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dab_ps.wav
sadness,../data/clean_audios/TESS\OAF_dab_sad.wav
anger,../data/clean_audios/TESS\OAF_date_angry.wav
anger,../data/clean_audios/TESS\OAF_date_disgust.wav
fear,../data/clean_audios/TESS\OAF_date_fear.wav
joy,../data/clean_audios/TESS\OAF_date_happy.wav
neutral,../data/clean_audios/TESS\OAF_date_neutral.wav
surprise,../data/clean_audios/TESS\OAF_date_ps.wav
sadness,../data/clean_audios/TESS\OAF_date_sad.wav
anger,../data/clean_audios/TESS\OAF_dead_angry.wav
anger,../data/clean_audios/TESS\OAF_dead_disgust.wav
fear,../data/clean_audios/TESS\OAF_dead_fear.wav
joy,../data/clean_audios/TESS\OAF_dead_happy.wav
