audio_data,emotion
"[-0.00151424 -0.00137288 -0.00090042 ...  0.00229587  0.0021934
  0.00195955]",anger
"[ 0.01816618  0.02001525  0.02240194 ... -0.01514927 -0.01448338
 -0.01336515]",anger
"[ 0.00438489 -0.00175223 -0.002677   ... -0.00013402  0.00015317
 -0.00010675]",fear
"[-0.05099928 -0.05191153 -0.05182729 ...  0.00373622  0.00475133
  0.00597439]",joy
"[-0.00506119 -0.00150963  0.00691531 ...  0.00688811  0.00865728
  0.01011783]",neutral
"[-0.00463064 -0.00068347  0.01002147 ... -0.00743434  0.00402377
  0.01397311]",surprise
"[ 0.01159281  0.01230393  0.01361117 ... -0.01500765 -0.01073903
 -0.00519104]",sadness
"[-0.00120974 -0.00417241 -0.00764638 ...  0.00163645  0.00143346
  0.0011322 ]",anger
[0.00685856 0.00696645 0.00816144 ... 0.04392293 0.04689748 0.04684939],anger
"[-0.00475444  0.01114927  0.00424905 ... -0.00150901 -0.00132141
 -0.00165013]",fear
"[ 0.01857323  0.01770969  0.0169487  ...  0.0034649  -0.00455167
 -0.01204714]",joy
[0.00294193 0.00241913 0.00476923 ... 0.01029945 0.01560124 0.01723374],neutral
"[-0.00901985  0.01389514  0.01272697 ...  0.00270973 -0.00071747
 -0.00328857]",surprise
"[ 0.00190304 -0.00147341 -0.00272931 ...  0.0005024   0.00061363
  0.0005787 ]",sadness
"[ 0.00172198  0.00175132  0.00155894 ... -0.00019713  0.00115632
  0.00225805]",anger
[0.06906208 0.06424262 0.06095113 ... 0.03677988 0.0528479  0.04037477],anger
"[ 0.00375133 -0.00931288  0.01466632 ...  0.00182017  0.00146204
 -0.00135367]",fear
[0.02423281 0.03081259 0.04008757 ... 0.00184485 0.00171509 0.00130057],joy
"[-0.03111439 -0.03283456 -0.03432617 ... -0.03080708 -0.02942687
 -0.02670287]",neutral
"[-0.02843235 -0.01799487 -0.00993048 ...  0.00705733  0.00838801
  0.01230155]",surprise
[0.04096666 0.04272071 0.0433472  ... 0.02542153 0.0240799  0.02187865],sadness
"[-0.00305393  0.00107295  0.00046207 ...  0.00412915  0.00515291
  0.00424493]",anger
"[-0.02730622 -0.02280307 -0.01353027 ... -0.01034057 -0.00314986
  0.00671246]",anger
"[ 0.00662478  0.00288326  0.00300181 ... -0.00388132 -0.00219257
 -0.00518537]",fear
"[ 0.01242963  0.01592456  0.02092385 ... -0.00199461  0.00117023
  0.00239654]",joy
"[ 0.00226894  0.00577311  0.00467719 ...  0.01152296  0.00075171
 -0.00518641]",neutral
"[ 0.00132145 -0.00735571 -0.00205071 ... -0.00528979 -0.00426368
 -0.00756874]",surprise
[0.03275827 0.0289723  0.03193517 ... 0.00170299 0.00748081 0.01240692],sadness
"[ 0.0670179   0.05408423  0.04237892 ... -0.04377177 -0.04161834
 -0.03767445]",anger
"[-0.00261354 -0.00267129 -0.00273346 ... -0.01028756 -0.00828108
 -0.00650982]",fear
"[ 0.00455064 -0.00526678 -0.00067482 ...  0.00206288  0.00113842
  0.00089263]",joy
"[-0.00431923  0.00237559 -0.00153624 ...  0.01176759  0.01325416
  0.01576321]",neutral
"[ 0.01010366  0.01141915 -0.00564213 ...  0.01391149  0.01562864
  0.01590781]",surprise
[0.01715912 0.02095126 0.02201608 ... 0.01517783 0.0154563  0.01560266],sadness
"[-0.00220218 -0.00229307 -0.00186693 ... -0.00118057 -0.00107365
 -0.00121914]",anger
"[-0.06868173 -0.07442473 -0.08298691 ...  0.04363789  0.04516472
  0.04762895]",anger
"[ 0.00403041 -0.00390263 -0.00075832 ... -0.00825128 -0.00839551
 -0.00783515]",fear
"[-0.01160366 -0.02357789  0.00658584 ... -0.0119654  -0.01500882
 -0.01532117]",joy
"[-0.00460666  0.00246728  0.00955845 ...  0.00855345  0.01223484
  0.01637757]",neutral
"[ 0.02578357 -0.00935415  0.00117954 ...  0.01271082  0.01353989
  0.01232118]",surprise
[0.00289905 0.00569247 0.00616119 ... 0.01121299 0.01032986 0.00969414],sadness
"[-0.028952   -0.0365632  -0.04460964 ... -0.05261941 -0.05164613
 -0.05795743]",anger
"[ 0.00191962  0.00495678 -0.00528125 ...  0.00427663  0.0036071
  0.00551265]",joy
